,ID,Actual_pd_train,Predict_pd_train,Predict_Probability_train
5996,5997,0,0,0.08779573
104501,104502,0,0,0.09822353
96213,96214,0,0,0.4246498
48840,48841,0,0,0.10895607
74228,74229,0,0,0.10667562
104104,104105,0,0,0.12698357
45007,45008,0,0,0.05879289
80447,80448,0,0,0.23496325
47004,47005,0,0,0.09178769
25717,25718,0,0,0.05177732
134647,134648,0,0,0.06993797
103915,103916,0,0,0.054078557
45921,45922,0,0,0.11123039
122720,122721,0,0,0.08360194
24765,24766,0,0,0.12815449
132221,132222,0,0,0.05346277
134945,134946,1,0,0.39282298
141275,141276,0,0,0.055615943
27943,27944,0,0,0.05576705
25490,25491,0,0,0.06683917
16471,16472,0,0,0.055185463
15556,15557,0,0,0.048401456
80515,80516,0,0,0.062654026
2134,2135,0,0,0.068303205
103211,103212,0,0,0.052812412
14989,14990,0,0,0.07687088
125650,125651,0,0,0.10399161
12310,12311,0,0,0.29742238
104768,104769,0,0,0.06399975
87187,87188,0,0,0.23042317
36332,36333,0,0,0.07545426
143635,143636,0,0,0.13399261
114442,114443,0,0,0.048657484
115612,115613,0,0,0.22235978
55259,55260,0,0,0.1254893
72762,72763,0,0,0.11307352
38171,38172,0,0,0.432632
123793,123794,0,0,0.05311938
25615,25616,0,0,0.06457992
9453,9454,0,0,0.073985174
144170,144171,0,0,0.058665026
54959,54960,0,0,0.056796834
130798,130799,0,0,0.05246198
111460,111461,0,0,0.15542758
143279,143280,0,0,0.05858794
135790,135791,0,0,0.06419264
87226,87227,0,0,0.052798677
107652,107653,0,0,0.08655481
11917,11918,0,0,0.1824263
11153,11154,0,0,0.10623526
144824,144825,0,0,0.053931445
131823,131824,0,0,0.05392169
47455,47456,0,0,0.05340942
52860,52861,0,0,0.068740405
27432,27433,0,0,0.053894743
53508,53509,0,0,0.2823586
140970,140971,0,0,0.14232504
89460,89461,0,0,0.053031713
14086,14087,0,0,0.06197126
69354,69355,0,0,0.08465781
109831,109832,0,0,0.17660749
6672,6673,0,0,0.049192887
76028,76029,0,0,0.07158775
118193,118194,0,0,0.068213545
123555,123556,0,0,0.061276983
20407,20408,0,0,0.062030487
51309,51310,0,0,0.060204238
80795,80796,0,0,0.07856597
52096,52097,0,0,0.0485954
26075,26076,0,0,0.05341412
146231,146232,0,0,0.06122827
131352,131353,0,0,0.055254493
75586,75587,0,0,0.06205868
64435,64436,0,0,0.07073395
48327,48328,0,0,0.1288097
16734,16735,0,0,0.060557283
106211,106212,0,0,0.08613297
127630,127631,0,0,0.057573456
129581,129582,1,0,0.15154822
41139,41140,0,0,0.049189776
104640,104641,0,0,0.09090895
100375,100376,0,0,0.05434088
102836,102837,0,0,0.07944932
88282,88283,0,0,0.0663582
17241,17242,0,0,0.06705336
77371,77372,0,0,0.06304516
85738,85739,0,0,0.090060204
143548,143549,0,0,0.048605397
11621,11622,0,0,0.1759826
29029,29030,0,0,0.051073276
47976,47977,0,0,0.066971466
85806,85807,0,0,0.10587361
72112,72113,0,0,0.10061873
60567,60568,0,0,0.066059925
122517,122518,0,0,0.051064793
133109,133110,0,0,0.06609547
